,Subject,TrialNumber,AudioStimulus,VisualStimulus,Response,DateTimeOfResponse,ResponseTime
0,41,1,2,0,AddResponse,AddDate,0.0
1,41,2,1,2,AddResponse,AddDate,0.0
2,41,3,0,4,AddResponse,AddDate,0.0
3,41,4,2,2,AddResponse,AddDate,0.0
4,41,5,0,4,AddResponse,AddDate,0.0
5,41,6,0,3,AddResponse,AddDate,0.0
6,41,7,0,2,AddResponse,AddDate,0.0
7,41,8,1,2,AddResponse,AddDate,0.0
8,41,9,0,4,AddResponse,AddDate,0.0
9,41,10,2,0,AddResponse,AddDate,0.0
10,41,11,2,2,AddResponse,AddDate,0.0
11,41,12,1,3,AddResponse,AddDate,0.0
12,41,13,2,2,AddResponse,AddDate,0.0
13,41,14,1,0,AddResponse,AddDate,0.0
14,41,15,2,4,AddResponse,AddDate,0.0
15,41,16,1,0,AddResponse,AddDate,0.0
16,41,17,2,2,AddResponse,AddDate,0.0
17,41,18,0,0,AddResponse,AddDate,0.0
18,41,19,1,3,AddResponse,AddDate,0.0
19,41,20,1,4,AddResponse,AddDate,0.0
20,41,21,1,0,AddResponse,AddDate,0.0
21,41,22,1,0,AddResponse,AddDate,0.0
22,41,23,1,2,AddResponse,AddDate,0.0
23,41,24,1,3,AddResponse,AddDate,0.0
24,41,25,2,0,AddResponse,AddDate,0.0
25,41,26,0,4,AddResponse,AddDate,0.0
26,41,27,1,0,AddResponse,AddDate,0.0
27,41,28,2,0,AddResponse,AddDate,0.0
28,41,29,1,4,AddResponse,AddDate,0.0
29,41,30,2,4,AddResponse,AddDate,0.0
30,41,31,1,4,AddResponse,AddDate,0.0
31,41,32,1,3,AddResponse,AddDate,0.0
32,41,33,0,2,AddResponse,AddDate,0.0
33,41,34,1,1,AddResponse,AddDate,0.0
34,41,35,0,3,AddResponse,AddDate,0.0
35,41,36,1,2,AddResponse,AddDate,0.0
36,41,37,0,2,AddResponse,AddDate,0.0
37,41,38,2,4,AddResponse,AddDate,0.0
38,41,39,0,1,AddResponse,AddDate,0.0
39,41,40,0,1,AddResponse,AddDate,0.0
40,41,41,1,1,AddResponse,AddDate,0.0
41,41,42,1,4,AddResponse,AddDate,0.0
42,41,43,0,0,AddResponse,AddDate,0.0
43,41,44,0,1,AddResponse,AddDate,0.0
44,41,45,2,1,AddResponse,AddDate,0.0
45,41,46,1,2,AddResponse,AddDate,0.0
46,41,47,2,1,AddResponse,AddDate,0.0
47,41,48,1,2,AddResponse,AddDate,0.0
48,41,49,0,0,AddResponse,AddDate,0.0
49,41,50,2,1,AddResponse,AddDate,0.0
50,41,51,0,3,AddResponse,AddDate,0.0
51,41,52,0,2,AddResponse,AddDate,0.0
52,41,53,1,1,AddResponse,AddDate,0.0
53,41,54,2,3,AddResponse,AddDate,0.0
54,41,55,0,2,AddResponse,AddDate,0.0
55,41,56,0,0,AddResponse,AddDate,0.0
56,41,57,0,1,AddResponse,AddDate,0.0
57,41,58,2,3,AddResponse,AddDate,0.0
58,41,59,2,4,AddResponse,AddDate,0.0
59,41,60,2,1,AddResponse,AddDate,0.0
60,41,61,2,1,AddResponse,AddDate,0.0
61,41,62,1,3,AddResponse,AddDate,0.0
62,41,63,1,1,AddResponse,AddDate,0.0
63,41,64,0,3,AddResponse,AddDate,0.0
64,41,65,1,4,AddResponse,AddDate,0.0
65,41,66,0,3,AddResponse,AddDate,0.0
66,41,67,2,2,AddResponse,AddDate,0.0
67,41,68,0,4,AddResponse,AddDate,0.0
68,41,69,2,4,AddResponse,AddDate,0.0
69,41,70,0,0,AddResponse,AddDate,0.0
70,41,71,2,0,AddResponse,AddDate,0.0
71,41,72,2,3,AddResponse,AddDate,0.0
72,41,73,2,0,AddResponse,AddDate,0.0
73,41,74,1,1,AddResponse,AddDate,0.0
74,41,75,0,1,AddResponse,AddDate,0.0
75,41,76,0,4,AddResponse,AddDate,0.0
76,41,77,2,3,AddResponse,AddDate,0.0
77,41,78,2,3,AddResponse,AddDate,0.0
