,Subject,TrialNumber,Rooms,Response,Confidence,DateTimeOfResponse
0,20,1,AC,AddResponse,AddConfidence,AddDate
1,20,2,BD,AddResponse,AddConfidence,AddDate
2,20,3,BA,AddResponse,AddConfidence,AddDate
3,20,4,AE,AddResponse,AddConfidence,AddDate
4,20,5,CE,AddResponse,AddConfidence,AddDate
5,20,6,CD,AddResponse,AddConfidence,AddDate
6,20,7,BC,AddResponse,AddConfidence,AddDate
7,20,8,CE,AddResponse,AddConfidence,AddDate
8,20,9,AD,AddResponse,AddConfidence,AddDate
9,20,10,AC,AddResponse,AddConfidence,AddDate
10,20,11,CD,AddResponse,AddConfidence,AddDate
11,20,12,CE,AddResponse,AddConfidence,AddDate
12,20,13,AD,AddResponse,AddConfidence,AddDate
13,20,14,BE,AddResponse,AddConfidence,AddDate
14,20,15,DE,AddResponse,AddConfidence,AddDate
15,20,16,BE,AddResponse,AddConfidence,AddDate
16,20,17,DE,AddResponse,AddConfidence,AddDate
17,20,18,AD,AddResponse,AddConfidence,AddDate
18,20,19,DE,AddResponse,AddConfidence,AddDate
19,20,20,AC,AddResponse,AddConfidence,AddDate
20,20,21,DE,AddResponse,AddConfidence,AddDate
21,20,22,AC,AddResponse,AddConfidence,AddDate
22,20,23,BC,AddResponse,AddConfidence,AddDate
23,20,24,CD,AddResponse,AddConfidence,AddDate
24,20,25,BD,AddResponse,AddConfidence,AddDate
25,20,26,BE,AddResponse,AddConfidence,AddDate
26,20,27,BD,AddResponse,AddConfidence,AddDate
27,20,28,AE,AddResponse,AddConfidence,AddDate
28,20,29,AC,AddResponse,AddConfidence,AddDate
29,20,30,BA,AddResponse,AddConfidence,AddDate
30,20,31,CD,AddResponse,AddConfidence,AddDate
31,20,32,AE,AddResponse,AddConfidence,AddDate
32,20,33,BC,AddResponse,AddConfidence,AddDate
33,20,34,BD,AddResponse,AddConfidence,AddDate
34,20,35,DE,AddResponse,AddConfidence,AddDate
35,20,36,DE,AddResponse,AddConfidence,AddDate
36,20,37,CD,AddResponse,AddConfidence,AddDate
37,20,38,BE,AddResponse,AddConfidence,AddDate
38,20,39,CE,AddResponse,AddConfidence,AddDate
39,20,40,AB,AddResponse,AddConfidence,AddDate
40,20,41,BC,AddResponse,AddConfidence,AddDate
41,20,42,AC,AddResponse,AddConfidence,AddDate
42,20,43,BA,AddResponse,AddConfidence,AddDate
43,20,44,BC,AddResponse,AddConfidence,AddDate
44,20,45,BC,AddResponse,AddConfidence,AddDate
45,20,46,AE,AddResponse,AddConfidence,AddDate
46,20,47,AD,AddResponse,AddConfidence,AddDate
47,20,48,BE,AddResponse,AddConfidence,AddDate
48,20,49,CE,AddResponse,AddConfidence,AddDate
49,20,50,AB,AddResponse,AddConfidence,AddDate
50,20,51,AE,AddResponse,AddConfidence,AddDate
51,20,52,BD,AddResponse,AddConfidence,AddDate
52,20,53,BE,AddResponse,AddConfidence,AddDate
53,20,54,CE,AddResponse,AddConfidence,AddDate
54,20,55,AE,AddResponse,AddConfidence,AddDate
55,20,56,CD,AddResponse,AddConfidence,AddDate
56,20,57,AC,AddResponse,AddConfidence,AddDate
57,20,58,AB,AddResponse,AddConfidence,AddDate
58,20,59,BD,AddResponse,AddConfidence,AddDate
59,20,60,AD,AddResponse,AddConfidence,AddDate
60,20,61,BA,AddResponse,AddConfidence,AddDate
61,20,62,AD,AddResponse,AddConfidence,AddDate
62,20,63,BD,AddResponse,AddConfidence,AddDate
