,Subject,TrialNumber,AudioStimulus,VisualStimulus,Response,DateTimeOfResponse,ResponseTime
0,33,1,2,0,AddResponse,AddDate,0.0
1,33,2,1,2,AddResponse,AddDate,0.0
2,33,3,0,4,AddResponse,AddDate,0.0
3,33,4,0,1,AddResponse,AddDate,0.0
4,33,5,0,0,AddResponse,AddDate,0.0
5,33,6,2,0,AddResponse,AddDate,0.0
6,33,7,0,1,AddResponse,AddDate,0.0
7,33,8,1,2,AddResponse,AddDate,0.0
8,33,9,0,0,AddResponse,AddDate,0.0
9,33,10,0,0,AddResponse,AddDate,0.0
10,33,11,1,4,AddResponse,AddDate,0.0
11,33,12,1,0,AddResponse,AddDate,0.0
12,33,13,1,4,AddResponse,AddDate,0.0
13,33,14,1,1,AddResponse,AddDate,0.0
14,33,15,2,2,AddResponse,AddDate,0.0
15,33,16,2,1,AddResponse,AddDate,0.0
16,33,17,2,3,AddResponse,AddDate,0.0
17,33,18,1,2,AddResponse,AddDate,0.0
18,33,19,0,0,AddResponse,AddDate,0.0
19,33,20,1,3,AddResponse,AddDate,0.0
20,33,21,1,2,AddResponse,AddDate,0.0
21,33,22,2,4,AddResponse,AddDate,0.0
22,33,23,0,4,AddResponse,AddDate,0.0
23,33,24,0,3,AddResponse,AddDate,0.0
24,33,25,0,3,AddResponse,AddDate,0.0
25,33,26,1,2,AddResponse,AddDate,0.0
26,33,27,1,0,AddResponse,AddDate,0.0
27,33,28,1,4,AddResponse,AddDate,0.0
28,33,29,1,0,AddResponse,AddDate,0.0
29,33,30,0,0,AddResponse,AddDate,0.0
30,33,31,2,3,AddResponse,AddDate,0.0
31,33,32,2,4,AddResponse,AddDate,0.0
32,33,33,1,3,AddResponse,AddDate,0.0
33,33,34,2,0,AddResponse,AddDate,0.0
34,33,35,0,3,AddResponse,AddDate,0.0
35,33,36,1,0,AddResponse,AddDate,0.0
36,33,37,0,2,AddResponse,AddDate,0.0
37,33,38,2,1,AddResponse,AddDate,0.0
38,33,39,1,3,AddResponse,AddDate,0.0
39,33,40,1,1,AddResponse,AddDate,0.0
40,33,41,2,1,AddResponse,AddDate,0.0
41,33,42,2,0,AddResponse,AddDate,0.0
42,33,43,2,2,AddResponse,AddDate,0.0
43,33,44,0,4,AddResponse,AddDate,0.0
44,33,45,0,1,AddResponse,AddDate,0.0
45,33,46,0,3,AddResponse,AddDate,0.0
46,33,47,2,2,AddResponse,AddDate,0.0
47,33,48,2,3,AddResponse,AddDate,0.0
48,33,49,2,3,AddResponse,AddDate,0.0
49,33,50,2,4,AddResponse,AddDate,0.0
50,33,51,0,4,AddResponse,AddDate,0.0
51,33,52,0,1,AddResponse,AddDate,0.0
52,33,53,1,4,AddResponse,AddDate,0.0
53,33,54,1,1,AddResponse,AddDate,0.0
54,33,55,2,4,AddResponse,AddDate,0.0
55,33,56,1,2,AddResponse,AddDate,0.0
56,33,57,0,2,AddResponse,AddDate,0.0
57,33,58,2,0,AddResponse,AddDate,0.0
58,33,59,1,0,AddResponse,AddDate,0.0
59,33,60,2,4,AddResponse,AddDate,0.0
60,33,61,0,3,AddResponse,AddDate,0.0
61,33,62,1,1,AddResponse,AddDate,0.0
62,33,63,2,1,AddResponse,AddDate,0.0
63,33,64,0,4,AddResponse,AddDate,0.0
64,33,65,1,1,AddResponse,AddDate,0.0
65,33,66,1,3,AddResponse,AddDate,0.0
66,33,67,0,2,AddResponse,AddDate,0.0
67,33,68,1,4,AddResponse,AddDate,0.0
68,33,69,2,1,AddResponse,AddDate,0.0
69,33,70,2,3,AddResponse,AddDate,0.0
70,33,71,1,3,AddResponse,AddDate,0.0
71,33,72,0,2,AddResponse,AddDate,0.0
72,33,73,0,4,AddResponse,AddDate,0.0
73,33,74,2,0,AddResponse,AddDate,0.0
74,33,75,0,1,AddResponse,AddDate,0.0
75,33,76,0,2,AddResponse,AddDate,0.0
76,33,77,2,2,AddResponse,AddDate,0.0
77,33,78,2,2,AddResponse,AddDate,0.0
